All Schools,353014,-2.12,2869937334,0.59
ACE TECH HS,346,-10.13,3267563,-4.99
ADDAMS,655,-6.83,4891603,-0.14
AGASSIZ,476,0.63,4019056,-2.18
AHS  PASSAGES,437,-1.13,3578432,8.44
AIR FORCE HS,351,4.78,3183882,7.70
ALBANY PARK,269,-2.89,2147267,-1.84
ALCOTT,941,3.41,6639045,6.80
ALDRIDGE,134,-9.46,1277779,6.30
AMUNDSEN HS,1183,0.94,9954511,1.77
ARIEL,468,-2.70,3827944,10.88
ARMOUR,239,-5.91,1977345,-8.16
ARMSTRONG G,1276,-3.19,9317317,-3.68
ASHBURN,468,0.21,4260648,-1.50
ASHE,234,-16.13,2090447,-10.26
ASPIRA  BUSINESS & FINANCE HS,459,37.01,4121475,37.04
ASPIRA  EARLY COLLEGE HS,403,-4.50,3670011,0.70
ASPIRA  HAUGAN,545,1.49,4204176,8.57
AUDUBON,503,-0.79,3328782,-1.42
AVALON PARK,274,-2.84,2269015,4.76
AZUELA,899,-1.75,6615046,4.90
BACK OF THE YARDS HS,1055,1.05,8212331,4.52
BANNER WEST HS,227,-5.81,1977879,-9.58
BARNARD,297,4.58,2601519,2.31
BARRY,577,-6.63,4502166,-1.05
BARTON,338,-13.99,3100118,-2.84
BASS,401,-0.99,3217676,-3.58
BATEMAN,943,-0.32,6738134,3.36
BEARD,73,-1.35,3038169,-0.79
BEASLEY,1192,-0.17,8102273,8.58
BEAUBIEN,1035,-2.73,6807174,0.85
BEETHOVEN,329,-5.19,2862863,-1.65
BEIDLER,431,2.62,3292359,3.77
BELDING,490,-0.81,3696297,-1.59
BELL,961,0.63,6448475,-0.93
BELMONTCRAGIN,292,-1.35,2692926,1.41
BENNETT,265,-11.67,2202514,-5.93
BLACK,416,-6.31,3208198,-5.60
BLAINE,776,0.65,4755171,0.08
BLAIR,71,-4.05,3392872,6.55
BOGAN HS,813,1.88,7552458,3.41
BOND,273,-1.44,2679455,5.36
BOONE,761,-0.26,5961878,-4.21
BOUCHET,545,-1.09,4855241,3.73
BOWEN HS,299,-8.84,3352730,-9.45
BRADWELL,535,-10.23,4428308,-0.97
BRENNEMANN,332,-7.78,3393974,-1.62
BRENTANO,436,8.46,3491746,8.41
BRIDGE,1003,0.91,6650607,4.27
BRIGHT,264,-1.49,2806261,-0.21
BRIGHTON PARK,423,-7.24,3108820,-6.73
BRONZEVILLE HS,306,-18.62,2738380,-7.82
BROOKS HS,971,6.00,7610580,13.50
BROWN R,312,-0.32,2807434,4.61
BROWN W,259,1.57,2863101,8.70
BROWNELL,175,-2.23,1432896,-3.11
BRUNSON,437,-8.39,3516925,-0.21
